name	reason
articaine	no aromatic nitrogen (cannot coordinate the heme iron)
arundic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
ARV-825	unparseable SMILES
AS-1949490	no aromatic nitrogen (cannot coordinate the heme iron)
AS-2034178	no aromatic nitrogen (cannot coordinate the heme iron)
AS-252424	no aromatic nitrogen (cannot coordinate the heme iron)
AS-604850	no aromatic nitrogen (cannot coordinate the heme iron)
AS-77	no aromatic nitrogen (cannot coordinate the heme iron)
ASA-404	no aromatic nitrogen (cannot coordinate the heme iron)
asaraldehyde	no aromatic nitrogen (cannot coordinate the heme iron)
ASC-J9	no aromatic nitrogen (cannot coordinate the heme iron)
ascomycin	56 heavy atoms > 45 (outside applicability domain)
ascorbic-acid	unparseable SMILES
