rank	ligand	N_Fe_dist_A	vina_kcal_mol
716	adefovir	3.471	-6.7
717	alpha-methylhistamine-dihydrobromide-_S_-___	3.472	-4.9
718	AZ3146	3.473	-9.8
719	mofezolac	3.478	-9.0
720	etofylline	3.480	-6.6
721	FPL-64176	3.482	-9.7
722	NVP-TAE684	3.483	-11.5
723	BW-348U87	3.483	-8.8
724	medorinone	3.483	-7.3
725	RU-42173	3.483	-8.3
726	methimazole	3.483	-3.9
727	JNJ-27141491	3.485	-9.2
728	favipiravir	3.485	-6.1
729	CCT196969	3.485	-11.5
730	NVP-AEW541	3.486	-12.0
731	IOX1	3.489	-7.5
732	chloroxine	3.489	-7.4
733	paraxanthine	3.489	-6.5
734	enoximone	3.490	-7.8
735	AZ-10606120	3.491	-9.5
736	triamterene	3.491	-8.6
737	verubulin	3.491	-9.4
738	VE-822	3.491	-8.8
739	EF5	3.491	-8.0
740	gimeracil	3.492	-5.3
741	brivanib-alaninate	3.493	-9.5
742	dazmegrel	3.493	-8.4
743	GSK9027	3.494	-11.8
744	GDC-0068	3.495	-8.5
745	GSK2194069	3.495	-11.8
746	droperidol	3.495	-10.9
747	PP-121	3.496	-10.1
748	AZ-7371	3.496	-8.8
749	naratriptan	3.497	-9.7
750	amodiaquine	3.497	-9.7
751	tyrphostin-AG-825	3.498	-9.7
752	indole-3-carbinol	3.499	-6.7
753	caffeine	3.499	-6.6
754	esomeprazole	3.500	-9.0
755	omeprazole	3.500	-9.0
756	BIIB021	3.501	-8.5
757	DSR-6434	3.504	-9.0
758	forodesine	3.505	-7.5
759	osilodrostat	3.509	-8.2
760	nifekalant	3.509	-9.2
761	chlorzoxazone	3.510	-6.7
762	metafolin	3.510	-9.9
763	SAR407899	3.511	-9.0
764	CH-170	3.513	-8.2
765	F-16915	3.513	-9.8
766	cefetamet	3.515	-7.5
767	BMS-833923	3.515	-12.6
768	zindotrine	3.516	-8.0
769	ODQ	3.517	-8.3
770	masitinib	3.517	-11.5
771	edoxudine	3.519	-7.3
772	vardenafil	3.519	-8.5
773	TC-G-1005	3.520	-9.4
774	5-fluoropyrimidine	3.522	-4.1
775	zeatin	3.524	-7.4
776	PF-04457845	3.525	-12.1
777	vilazodone	3.527	-11.2
778	cefodizime	3.527	-6.9
