cid	smiles	pchembl	n_records	types	heavy	verdict	max_tc	nearest_active	in_domain
CHEMBL476496	CC[C@@H](C)C[C@@H](C)/C=C(C)/C=C/C=C/C(=O)c1c(O)c(-c2ccc(O)cc2)c[nH]c1=O	4.36	1	IC50	31	in-envelope-novel	0.108	posaconazole	True
CHEMBL481708	Oc1cc(Br)c(Cc2cc(O)c(O)cc2Br)cc1O	4.34	1	IC50	19	out-of-scope	0.105	oxiconazole	False
CHEMBL483377	CN(C)C(=N)N.C[C@@H]1CCC2=C(CCCC2(C)C)[C@@]1(C)CC[C@H](CCCc1ccoc1)COS(=O)(=O)O	4.47	1	IC50	37	out-of-scope	0.102	posaconazole	False
CHEMBL484372	CC1=CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C)CCC/C(C)=C/Cc1cc(O)ccc1O	4.12	1	IC50	33	out-of-scope	0.097	ketoconazole	False
CHEMBL485569	COc1cc(-c2ccccc2C)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1	7.35	1	IC50	28	in-envelope-novel	0.129	bifonazole	True
CHEMBL485959	CCc1nc(N)nc(N)c1C#CCc1cc(OC)c(OC)c(OC)c1	7.75	1	IC50	25	in-envelope-novel	0.109	isavuconazole	True
CHEMBL485960	COc1ccc(OC)c(CC#Cc2c(C)nc(N)nc2N)c1	6.39	1	IC50	22	in-envelope-novel	0.122	ketoconazole	True
CHEMBL485961	CCc1nc(N)nc(N)c1C#CCc1cc(OC)ccc1OC	7.0	2	IC50	23	in-envelope-novel	0.119	itraconazole	True
CHEMBL485962	CCCc1nc(N)nc(N)c1C#CCc1cc(OC)ccc1OC	7.35	1	IC50	24	in-envelope-novel	0.117	itraconazole	True
CHEMBL491516	Oc1cc(COCc2cc(O)c(O)c(Br)c2Br)c(Br)c(Br)c1O	4.55	1	IC50	23	out-of-scope	0.133	oxiconazole	False
CHEMBL491665	C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C[C@@H](OS(=O)(=O)[O-])[C@H](C)CCC/C(C)=C/Cc1cc(O)ccc1O.[Na+]	4.25	2	IC50	39	out-of-scope	0.126	efinaconazole	False
CHEMBL492072	C=C1CCC[C@@H]2[C@@](C)(CC[C@H](CCCc3ccoc3)COS(=O)(=O)O)[C@H](C)CC[C@]12C.CN(C)C(=N)N	4.5	1	IC50	37	out-of-scope	0.118	efinaconazole	False
CHEMBL499936	C/C=C1\NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]([C@H](C)CC)NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](CCCN)NC(=O)[C@H]2CCCN2C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CCCC(C)C)C(C)C)[C@@H](C)O)C(C)C)C(C)C)[C@H](C)CC)[C@H](C)OC(=O)[C@H](C(C)C)NC1=O	5.52	2	IC50	105	out-of-scope	0.125	posaconazole	False
CHEMBL505302	CC(=O)O[C@@H]1c2nc(cs2)C(=O)O[C@@H](CCCC(C)(Cl)Cl)[C@H](C)C(=O)O[C@@H](C(C)(C)O)c2nc(cs2)C(=O)OC1(C)C	7.7	1	IC50	42	in-envelope-novel	0.122	isavuconazole	True
CHEMBL508825	CC(C)=CCc1c(O)ccc(C(=O)[C@H]2[C@H](c3c(O)cc(-c4cc5ccc(O)cc5o4)cc3O)C=C(C)C[C@H]2c2ccc(O)cc2O)c1O	5.27	1	IC50	48	out-of-scope	0.103	ketoconazole	False
CHEMBL510949	C=C(C)CC[C@H](C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O)C(=C)C	4.52	1	EC50	44	out-of-scope	0.119	posaconazole	False
CHEMBL511731	CC1(C)C=Cc2c(ccc3c2NC(=O)[C@@]32[C@H](O)[C@@]34NC(=O)[C@]5(CCCN5C3=O)C[C@H]4C2(C)C)O1	4.03	1	IC50	34	out-of-scope	0.143	posaconazole	False
CHEMBL511934	COc1cc(-c2cc(-c3ccc(Cl)c(Cl)c3)nc3[nH]nc(C)c23)cc(OC)c1OC	4.75	1	IC50	30	in-envelope-novel	0.115	miconazole	True
CHEMBL512142	CON1C(=O)C2NC(=O)[C@@]13Oc1cc(O)c(Cl)cc1[C@@H]3SSSS2	7.08	1	IC50	24	out-of-scope	0.138	luliconazole	False
CHEMBL520358	COc1cc(-c2ccccc2)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1	7.26	2	IC50	27	in-envelope-novel	0.188	bifonazole	True
CHEMBL521055	COc1ccc(OC)c(CC#Cc2cnc(N)nc2N)c1	5.85	1	IC50	21	in-envelope-novel	0.134	ketoconazole	True
CHEMBL550897	CCCCCc1cc(O)c2c(c1)OC(C)(C)c1cc(O)c(C)cc1-2	5.34	1	IC50	24	out-of-scope	0.101	ketoconazole	False
CHEMBL554041	CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl	5.27	1	IC50	38	out-of-scope	0.078	efinaconazole	False
CHEMBL558682	C=C(C)C(O)CCC1(C)C=Cc2c(O)cc(CCCCC)cc2O1	4.22	1	IC50	24	out-of-scope	0.115	posaconazole	False
CHEMBL561057	CC(C)=CCC/C(C)=C/CNCCNC1C2CC3CC(C2)CC1C3	5.0	1	IC50	24	out-of-scope	0.071	ketoconazole	False
CHEMBL562048	CCCCCCCCC/C=C/C(=O)N[C@H]1C[C@@]2(O)C(=O)C=C[C@@H](Cl)[C@@H]2O[C@H]1O	4.86	1	IC50	28	out-of-scope	0.108	ketoconazole	False
CHEMBL572485	COc1ccc(-c2cc(OC)cc(C(C)C#Cc3c(C)nc(N)nc3N)c2)cc1	7.52	1	IC50	29	in-envelope-novel	0.136	bifonazole	True
CHEMBL572717	COc1cc(CC#Cc2c(C)nc(N)nc2N)cc(-c2c(C)cccc2C)c1	7.26	1	IC50	28	in-envelope-novel	0.129	ketoconazole	True
CHEMBL572856	COc1cc([C@H](C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC	5.6	1	IC50	25	in-envelope-novel	0.111	voriconazole	True
CHEMBL573075	COc1cc([C@@H](C)C#Cc2cnc(N)nc2N)cc(OC)c1OC	6.75	1	IC50	24	in-envelope-novel	0.127	voriconazole	True
CHEMBL573076	CC[C@H](C#Cc1c(C)nc(N)nc1N)c1cc(OC)c(OC)c(OC)c1	7.35	1	IC50	26	in-envelope-novel	0.107	efinaconazole	True
CHEMBL573077	COc1cc(-c2c(C)cccc2C)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1	7.35	1	IC50	29	in-envelope-novel	0.116	bifonazole	True
CHEMBL573117	COc1cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1	7.26	1	IC50	27	in-envelope-novel	0.185	bifonazole	True
CHEMBL573306	COc1cc([C@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1	7.26	1	IC50	27	in-envelope-novel	0.185	bifonazole	True
CHEMBL573406	COc1cc([C@H](C)C#Cc2c(C)nc(N)nc2N)ccc1-c1ccccc1C	7.57	1	IC50	28	in-envelope-novel	0.13	bifonazole	True
CHEMBL573407	COc1ccc(-c2cc(OC)cc([C@@H](C)C#Cc3c(C)nc(N)nc3N)c2)cc1	7.52	1	IC50	29	in-envelope-novel	0.136	bifonazole	True
CHEMBL573810	COc1cc([C@H](C)C#Cc2cnc(N)nc2N)cc(OC)c1OC	6.75	1	IC50	24	in-envelope-novel	0.127	voriconazole	True
CHEMBL573811	COc1cc([C@@H](C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC	6.5	1	IC50	26	in-envelope-novel	0.096	isavuconazole	True
CHEMBL573880	COc1ccc(OC)c(C(O)C#Cc2c(C)nc(N)nc2N)c1	6.14	1	IC50	23	in-envelope-novel	0.117	posaconazole	True
CHEMBL574258	COc1cc(-c2c(C(C)C)cccc2C(C)C)cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)c1	7.42	1	IC50	33	in-envelope-novel	0.111	bifonazole	True
